pdbid,t_prep_s
4llx,0.11517930030822754
5c28,0.07676577568054199
3uuo,0.05547285079956055
3ui7,0.05185246467590332
5c2h,0.04119157791137695
2v00,0.05095076560974121
3wz8,0.10187339782714844
3pww,0.05978727340698242
3prs,0.08630037307739258
3uri,0.2875378131866455
4m0z,0.05098295211791992
4m0y,0.0402073860168457
3qgy,0.0399930477142334
4qd6,0.06830000877380371
4rfm,0.045909881591796875
4cr9,0.04130363464355469
4cra,0.14847874641418457
4x6p,0.06009030342102051
4crc,0.09525275230407715
4ty7,0.05246996879577637
5aba,0.0821990966796875
5a7b,0.0679769515991211
4agn,0.059967041015625
4agp,0.04230761528015137
4agq,0.1196587085723877
3bgz,0.03544354438781738
3jya,0.031121492385864258
2c3i,0.06907176971435547
4k18,0.037114858627319336
5dwr,0.08467698097229004
3mss,0.039722442626953125
3k5v,0.061096906661987305
3pyy,0.045586585998535156
2v7a,0.07979798316955566
4twp,0.06858015060424805
3wtj,0.06442904472351074
3zdg,0.08237791061401367
3u8k,0.09284114837646484
4qac,0.07210779190063477
3u8n,0.10512375831604004
1a30,0.0363306999206543
2qnq,0.04972434043884277
1g2k,0.04896736145019531
1eby,0.04881858825683594
3o9i,0.059334754943847656
4lzs,0.07506012916564941
3u5j,0.04013538360595703
4wiv,0.03622579574584961
4ogj,0.07119441032409668
3p5o,0.05655646324157715
1ps3,0.10067105293273926
3dx1,0.11478185653686523
3d4z,0.062097787857055664
3dx2,0.08715486526489258
3ejr,0.14540839195251465
3l7b,0.1401371955871582
4eky,0.1370706558227539
3g2n,0.06408119201660156
3syr,0.10170626640319824
3ebp,0.1324460506439209
2w66,0.05248832702636719
2w4x,0.07793927192687988
2wca,0.10780501365661621
2xj7,0.06359195709228516
2vvn,0.06262969970703125
3aru,0.042232513427734375
3arv,0.0619661808013916
3ary,0.05699634552001953
3arq,0.07323956489562988
3arp,0.06757020950317383
4ih5,0.04904651641845703
4ih7,0.08035731315612793
3cj4,0.04642367362976074
4eo8,0.056304216384887695
3gnw,0.07402586936950684
1gpk,0.04434967041015625
1gpn,0.04886031150817871
1h23,0.11074304580688477
1h22,0.07770538330078125
1e66,0.06965827941894531
3f3a,0.07569479942321777
3f3c,0.05025053024291992
4mme,0.07107973098754883
3f3d,0.10581541061401367
3f3e,0.08255887031555176
2wbg,0.06273674964904785
2cbv,0.03852272033691406
2j78,0.05631756782531738
2j7h,0.06339859962463379
2cet,0.054758310317993164
3udh,0.11132001876831055
3rsx,0.08318233489990234
4djv,0.0695793628692627
2vkm,0.06482172012329102
4gid,0.045153141021728516
4jfs,0.1002042293548584
4j28,0.03877139091491699
2wvt,0.0852653980255127
2xii,0.0382080078125
4pcs,0.053765058517456055
